related_id,item_id
2,32619
5,32663
8,33114
12,32403
13,33095
15,31830
16,31581
18,33133
19,30599
20,33060
21,32430
22,3167
23,32195
40,32296
27,32555
35,31915
33,31768
31,32465
44,446
39,334
41,889
42,990
1,507
28,677
29,256
32,866
4,698
6,282
6613,255
30,829
6613,255
24,778
638,893
6613,240
6615,230
8733,160
17,648
3,2021
349,518
12,1799
2,-305
16,985
17,604
5,588
6613,601
39,326
41,95
42,-980
44,930
8,569
23,652
20,983
15,129
19,248
22,828
21,355
1,704
30,786
28,114
29,868
31,826
24,-669
4,833
33,989
6,848
41,20311
21,545
13,171
5,467
22,345
18,510
8,220
33,259
23,423
24,0
20,2665
19,520